Key,LocID,AP_NAME,ALIAS,Facility Type,FAA REGION,COUNTY,CITY,STATE,AP Type,Latitude,Longitude,Boundary Data Available
2887.0,BQN,RAFAEL HERNANDEZ,Aeropuerto Rafael Hern�ndez,Airport,ASO,#NAME?,AGUADILLA,PR,Public Use,18.494861,-67.129444,Yes
974.0,ITO,HILO INTL,Hilo Int'l Airport,Airport,AWP,HAWAII,HILO,HI,Public Use,19.720263,-155.04847,Yes
979.0,KOA,KONA INTL AT KEAHOLE,Kona Int'l Airport At Keahole,Airport,AWP,HAWAII,KAILUA/KONA,HI,Public Use,19.738766,-156.045631,Yes
985.0,MUE,WAIMEA-KOHALA,Waimea-Kohala Airport,Airport,AWP,HAWAII,KAMUELA,HI,Public Use,20.001327,-155.668107,Yes
984.0,UPP,UPOLU,Upolu Airport,Airport,AWP,HAWAII,HAWI,HI,Public Use,20.265194,-155.859944,Yes
980.0,LNY,LANAI,Lanai Airport,Airport,AWP,MAUI,LANAI CITY,HI,Public Use,20.785611,-156.951418,Yes
973.0,HNM,HANA,Hana Airport,Airport,AWP,MAUI,HANA,HI,Public Use,20.795637,-156.014438,Yes
976.0,OGG,KAHULUI,Kahului Airport,Airport,AWP,MAUI,KAHULUI,HI,Federalized/Commercial,20.89865,-156.430458,Yes
982.0,MKK,MOLOKAI,Molokai Airport,Airport,AWP,MAUI,KAUNAKAKAI,HI,Public Use,21.152886,-157.096256,Yes
978.0,LUP,KALAUPAPA,Kalaupapa Airport,Airport,AWP,KALAWAO,KALAUPAPA,HI,Public Use,21.21104,-156.973597,Yes
977.0,JRF,KALAELOA (JOHN RODGERS FIELD),Kalaeloa Airport,Airport,AWP,HONOLULU,KAPOLEI,HI,Public Use,21.307354,-158.070302,Yes
975.0,HNL,HONOLULU INTL,Honolulu Int'l Airport,Airport,AWP,HONOLULU,HONOLULU,HI,Federalized/Commercial,21.318681,-157.922429,Yes
972.0,HDH,DILLINGHAM AIRFIELD,Dillingham Airfield,Airport,AWP,HONOLULU,MOKULEIA,HI,Public Use,21.579474,-158.197281,Yes
983.0,PAK,PORT ALLEN,Port Allen Airport,Airport,AWP,KAUAI,HANAPEPE,HI,Public Use,21.896944,-159.603167,Yes
981.0,LIH,LIHUE,Lihue Airport,Airport,AWP,KAUAI,LIHUE,HI,Public Use,21.975983,-159.338958,Yes
811.0,EYW,KEY WEST INTL,Key West Int'l Airport,Airport,ASO,MONROE,KEY WEST,FL,Federalized/Commercial,24.556111,-81.759556,Yes
866.0,MTH,THE FLORIDA KEYS MARATHON,Marathon Airport,Airport,ASO,MONROE,MARATHON,FL,Public Use,24.726194,-81.051361,Yes
806.0,X51,HOMESTEAD GENERAL AVIATION,Homestead General Aviation Airport,Airport,ASO,DADE,HOMESTEAD,FL,Public Use,25.499231,-80.554245,Yes
810.0,TMB,KENDALL-TAMIAMI EXECUTIVE,Kendall-Tamiami Executive Airport,Airport,ASO,DADE,MIAMI,FL,Public Use,25.647564,-80.433225,Yes
825.0,MIA,MIAMI INTL,Miami Int'l Airport,Airport,ASO,DADE,MIAMI,FL,Federalized/Commercial,25.795361,-80.290111,Yes
791.0,TNT,DADE-COLLIER TRAINING AND TRANSITION,Dade-Collier Training Airport,Airport,ASO,DADE,MIAMI,FL,Public Use,25.861806,-80.897,Yes
3110.0,BRO,BROWNSVILLE/SOUTH PADRE ISLAND INTL,Brownsville-S Padre Is Int'l Arpt,Airport,ASW,CAMERON,BROWNSVILLE,TX,Public Use,25.906833,-97.425833,Yes
835.0,OPF,OPA- LOCKA EXECUTIVE,Opa-Locka Airport,Airport,ASO,DADE,MIAMI,FL,Public Use,25.907417,-80.278222,Yes
819.0,MKY,MARCO ISLAND,Marco Island Executive Airport,Airport,ASO,COLLIER,MARCO ISLAND,FL,Public Use,25.995028,-81.672528,Yes
830.0,HWO,NORTH PERRY,North Perry Airport,Airport,ASO,BROWARD,HOLLYWOOD,FL,Public Use,26.001222,-80.240722,Yes
801.0,FLL,FORT LAUDERDALE/HOLLYWOOD INTL,Ft Lauderdale/Hollywood Int'l Arpt,Airport,ASO,BROWARD,FORT LAUDERDALE,FL,Federalized/Commercial,26.072596,-80.152741,Yes
827.0,APF,NAPLES MUNI,Naples Municipal Airport,Airport,ASO,COLLIER,NAPLES,FL,Public Use,26.152278,-81.775806,Yes
3282.0,PIL,PORT ISABEL-CAMERON COUNTY,Port Isabel-Cameron County Airport,Airport,ASW,CAMERON,PORT ISABEL,TX,Public Use,26.166194,-97.345889,Yes
3248.0,MFE,MC ALLEN MILLER INTL,Mcallen-Miller Int'l Airport,Airport,ASW,HIDALGO,MC ALLEN,TX,Federalized/Commercial,26.175833,-98.238611,Yes
3256.0,T65,MID VALLEY,Mid Valley Airport,Airport,ASW,HIDALGO,WESLACO,TX,Public Use,26.177639,-97.973056,Yes
800.0,FXE,FORT LAUDERDALE EXECUTIVE,Fort Lauderdale Executive Airport,Airport,ASO,BROWARD,FORT LAUDERDALE,FL,Public Use,26.197279,-80.170706,Yes
3332.0,HRL,VALLEY INTL,Valley Int'l Airport,Airport,ASW,CAMERON,HARLINGEN,TX,Public Use,26.227111,-97.655139,Yes
851.0,PMP,POMPANO BEACH AIRPARK,Pompano Beach Airpark,Airport,ASO,BROWARD,POMPANO BEACH,FL,Public Use,26.247139,-80.111056,Yes
782.0,BCT,BOCA RATON,Boca Raton Airport,Airport,ASO,PALM BEACH,BOCA RATON,FL,Public Use,26.3785,-80.107694,Yes
807.0,IMM,IMMOKALEE RGNL,Immokalee Regional Airport,Airport,ASO,COLLIER,IMMOKALEE,FL,Public Use,26.433821,-81.401377,Yes
857.0,RSW,SOUTHWEST FLORIDA INTL,Southwest Florida Int'l Airport,Airport,ASO,LEE,FORT MYERS,FL,Federalized/Commercial,26.536167,-81.755167,Yes
839.0,FMY,PAGE FIELD,Page Field Airport,Airport,ASO,LEE,FORT MYERS,FL,Public Use,26.586611,-81.86325,Yes
842.0,LNA,PALM BEACH COUNTY PARK,Palm Beach County Park Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Public Use,26.593056,-80.085065,Yes
843.0,PBI,PALM BEACH INTL,Palm Beach Int'l Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Federalized/Commercial,26.683167,-80.095583,Yes
774.0,2IS,AIRGLADES,Airglades Airport,Airport,ASO,HENDRY,CLEWISTON,FL,Public Use,26.735167,-81.051056,Yes
814.0,X14,LA BELLE MUNI,La Belle Municipal Airport,Airport,ASO,HENDRY,LA BELLE,FL,Public Use,26.740583,-81.428278,Yes
841.0,PHK,PALM BEACH CO GLADES,Palm Beach County Glades Airport,Airport,ASO,PALM BEACH,PAHOKEE,FL,Public Use,26.785028,-80.693361,Yes
829.0,F45,NORTH PALM BEACH COUNTY GENERAL AVIATION,North Palm Beach County Airport,Airport,ASO,PALM BEACH,WEST PALM BEACH,FL,Public Use,26.845917,-80.222333,Yes
852.0,PGD,PUNTA GORDA,Charlotte County Airport,Airport,ASO,CHARLOTTE,PUNTA GORDA,FL,Federalized/Commercial,26.918938,-81.990926,Yes
783.0,X36,BUCHAN,Buchan Airport,Airport,ASO,SARASOTA,ENGLEWOOD,FL,Public Use,26.990081,-82.374018,Yes
869.0,VNC,VENICE MUNI,Venice Municipal Airport,Airport,ASO,SARASOTA,VENICE,FL,Public Use,27.071611,-82.440333,Yes
875.0,SUA,WITHAM FIELD,Martin County Airport-Witham Field,Airport,ASO,MARTIN,STUART,FL,Public Use,27.1817,-80.221294,Yes
777.0,X06,ARCADIA MUNI,Arcadia Municipal Airport,Airport,ASO,DE SOTO,ARCADIA,FL,Public Use,27.195609,-81.837228,Yes
3109.0,BKS,BROOKS COUNTY,Brooks County Airport,Airport,ASW,BROOKS,FALFURRIAS,TX,Public Use,27.206024,-98.121038,Yes
834.0,OBE,OKEECHOBEE COUNTY,Okeechobee County Airport,Airport,ASO,OKEECHOBEE,OKEECHOBEE,FL,Public Use,27.266583,-80.850389,Yes
3218.0,HBV,JIM HOGG COUNTY,Jim Hogg County Airport,Airport,ASW,JIM HOGG,HEBBRONVILLE,TX,Public Use,27.349556,-98.736944,Yes
854.0,SRQ,SARASOTA/BRADENTON INTL,Sarasota/Bradenton Int'l Airport,Airport,ASO,SARASOTA,SARASOTA/BRADENTON,FL,Federalized/Commercial,27.395444,-82.554389,Yes
856.0,SEF,SEBRING RGNL,Sebring Regional Airport,Airport,ASO,HIGHLANDS,SEBRING,FL,Public Use,27.456389,-81.342389,Yes
859.0,FPR,ST LUCIE COUNTY INTL,St Lucie County Int'l Airport,Airport,ASO,ST LUCIE,FORT PIERCE,FL,Public Use,27.497472,-80.372639,Yes
872.0,CHN,WAUCHULA MUNI,Wauchula Municipal Airport,Airport,ASO,HARDEE,WAUCHULA,FL,Public Use,27.514917,-81.880472,Yes
3233.0,LRD,LAREDO INTL,Laredo Int'l Airport,Airport,ASW,WEBB,LAREDO,TX,Federalized/Commercial,27.544194,-99.461583,Yes
3226.0,IKG,KLEBERG COUNTY,Kleberg County Airport,Airport,ASW,KLEBERG,KINGSVILLE,TX,Public Use,27.550861,-98.030917,Yes
779.0,AVO,AVON PARK EXECUTIVE,Avon Park Municipal Airport,Airport,ASO,HIGHLANDS,AVON PARK,FL,Public Use,27.5913,-81.528967,Yes
3104.0,07R,BISHOP MUNI,Bishop Municipal Airport,Airport,ASW,NUECES,BISHOP,TX,Public Use,27.610167,-97.752528,Yes
870.0,VRB,VERO BEACH MUNI,Vero Beach Municipal Airport,Airport,ASO,INDIAN RIVER,VERO BEACH,FL,Public Use,27.655556,-80.417944,Yes
3088.0,ALI,ALICE INTL,Alice Int'l Airport,Airport,ASW,JIM WELLS,ALICE,TX,Public Use,27.740889,-98.026944,Yes
775.0,SPG,ALBERT WHITTED,Albert Whitted Airport,Airport,ASO,PINELLAS,ST PETERSBURG,FL,Public Use,27.765111,-82.626972,Yes
3137.0,CRP,CORPUS CHRISTI INTL,Corpus Christi Int'l Airport,Airport,ASW,NUECES,CORPUS CHRISTI,TX,Federalized/Commercial,27.770361,-97.501222,Yes
855.0,X26,SEBASTIAN MUNI,Sebastian Municipal Airport,Airport,ASO,INDIAN RIVER,SEBASTIAN,FL,Public Use,27.813235,-80.495584,Yes
3210.0,9R5,HUNT,Hunt Airport San Patricio,Airport,ASW,SAN PATRICIO,PORTLAND,TX,Public Use,27.887801,-97.354436,Yes
816.0,X07,LAKE WALES MUNI,Lake Wales Municipal Airport,Airport,ASO,POLK,LAKE WALES,FL,Public Use,27.893806,-81.620389,Yes
860.0,PIE,ST PETERSBURG-CLEARWATER INTL,St Petersburg/Clearwater Int'l Arpt,Airport,ASO,PINELLAS,ST PETERSBURG-CLEARWATER,FL,Federalized/Commercial,27.91,-82.687417,Yes
3317.0,TFP,T P MC CAMPBELL,Tp Mccampbell Airport,Airport,ASW,SAN PATRICIO,INGLESIDE,TX,Public Use,27.913028,-97.2115,Yes
846.0,TPF,PETER O KNIGHT,Peter O Knight Airport,Airport,ASO,HILLSBOROUGH,TAMPA,FL,Public Use,27.915444,-82.449389,Yes
780.0,BOW,BARTOW MUNI,Bartow Municipal Airport,Airport,ASO,POLK,BARTOW,FL,Public Use,27.943361,-81.783417,Yes
868.0,X59,VALKARIA,Valkaria Airport,Airport,ASO,BREVARD,VALKARIA,FL,Public Use,27.960861,-80.558333,Yes
864.0,TPA,TAMPA INTL,Tampa Int'l Airport,Airport,ASO,HILLSBOROUGH,TAMPA,FL,Federalized/Commercial,27.975472,-82.53325,Yes
786.0,CLW,CLEARWATER AIR PARK,Clearwater Airpark,Airport,ASO,PINELLAS,CLEARWATER,FL,Public Use,27.976472,-82.758667,Yes
817.0,LAL,LAKELAND LINDER RGNL,Lakeland Linder Regional Airport,Airport,ASO,POLK,LAKELAND,FL,Public Use,27.988917,-82.018556,Yes
850.0,PCM,PLANT CITY,Plant City Municipal Airport,Airport,ASO,HILLSBOROUGH,PLANT CITY,FL,Public Use,28.000167,-82.163306,Yes
863.0,VDF,TAMPA EXECUTIVE,Tampa Executive Airport,Airport,ASO,HILLSBOROUGH,TAMPA,FL,Public Use,28.013972,-82.345278,Yes
3087.0,T69,ALFRED C 'BUBBA' THOMAS,County Airport San Patricio,Airport,ASW,SAN PATRICIO,SINTON,TX,Public Use,28.038567,-97.542501,Yes
874.0,GIF,WINTER HAVEN'S GILBERT,Winter Haven Municipal Airport,Airport,ASO,POLK,WINTER HAVEN,FL,Public Use,28.062917,-81.753306,Yes
3092.0,RKP,ARANSAS CO,Aransas County Airport,Airport,ASW,ARANSAS,ROCKPORT,TX,Public Use,28.086222,-97.043694,Yes
823.0,MLB,MELBOURNE INTL,Melbourne Int'l Airport,Airport,ASO,BREVARD,MELBOURNE,FL,Public Use,28.102753,-80.645257,Yes
865.0,X39,TAMPA NORTH AERO PARK,Tampa North Aero Park,Airport,ASO,PASCO,TAMPA,FL,Public Use,28.221278,-82.374556,Yes
876.0,ZPH,ZEPHYRHILLS MUNI,Zephyrhills Municipal Airport,Airport,ASO,PASCO,ZEPHYRHILLS,FL,Public Use,28.228136,-82.155925,Yes
813.0,ISM,KISSIMMEE GATEWAY,Kissimmee Municipal Airport,Airport,ASO,OSCEOLA,ORLANDO,FL,Public Use,28.289806,-81.437083,Yes
3293.0,RFG,ROOKE FIELD,Rooke Field,Airport,ASW,REFUGIO,REFUGIO,TX,Public Use,28.293617,-97.323048,Yes
849.0,X05,PILOT COUNTRY,Pilot Country Airport,Airport,ASO,PASCO,BROOKSVILLE,FL,Public Use,28.330283,-82.496485,Yes
824.0,COI,MERRITT ISLAND,Merritt Island Airport,Airport,ASO,BREVARD,MERRITT ISLAND,FL,Public Use,28.341611,-80.685472,Yes
3102.0,BEA,BEEVILLE MUNI,Beeville Municipal Airport,Airport,ASW,BEE,BEEVILLE,TX,Public Use,28.364222,-97.791944,Yes
836.0,MCO,ORLANDO INTL,Orlando Int'l Airport,Airport,ASO,ORANGE,ORLANDO,FL,Federalized/Commercial,28.429394,-81.308993,Yes
3138.0,COT,COTULLA-LA SALLE COUNTY,Cotulla-La Salle County Airport,Airport,ASW,LA SALLE,COTULLA,TX,Public Use,28.455722,-99.217222,Yes
805.0,BKV,HERNANDO COUNTY,Hernando County Airport,Airport,ASO,HERNANDO,BROOKSVILLE,FL,Public Use,28.473611,-82.455417,Yes
858.0,TIX,SPACE COAST RGNL,Space Coast Regional Airport,Airport,ASO,BREVARD,TITUSVILLE,FL,Public Use,28.5148,-80.799228,Yes
3159.0,CZT,DIMMIT COUNTY,Dimmit County Airport,Airport,ASW,DIMMIT,CARRIZO SPRINGS,TX,Public Use,28.52225,-99.823639,Yes
796.0,ORL,EXECUTIVE,Orlando Executive Airport,Airport,ASO,ORANGE,ORLANDO,FL,Public Use,28.545472,-81.332917,Yes
778.0,X21,ARTHUR DUNN AIR PARK,Arthur Dunn Airpark,Airport,ASO,BREVARD,TITUSVILLE,FL,Public Use,28.622552,-80.83541,Yes
3116.0,PKV,CALHOUN COUNTY,Calhoun County Airport,Airport,ASW,CALHOUN,PORT LAVACA,TX,Public Use,28.653306,-96.682722,Yes
3142.0,20R,CRYSTAL CITY MUNI,Crystal City Municipal Airport,Airport,ASW,ZAVALA,CRYSTAL CITY,TX,Public Use,28.697556,-99.817667,Yes
3272.0,PSX,PALACIOS MUNI,Palacios Municipal Airport,Airport,ASW,MATAGORDA,PALACIOS,TX,Public Use,28.7275,-96.250944,Yes
837.0,SFB,ORLANDO SANFORD INTL,Orlando Sanford Int'l Airport,Airport,ASO,SEMINOLE,ORLANDO,FL,Federalized/Commercial,28.776694,-81.235528,Yes
808.0,INF,INVERNESS,Inverness Municipal Airport,Airport,ASO,CITRUS,INVERNESS,FL,Public Use,28.803613,-82.318247,Yes
3250.0,T30,MC KINLEY FIELD,Mckinley Field,Airport,ASW,FRIO,PEARSALL,TX,Public Use,28.82225,-99.109028,Yes
818.0,LEE,LEESBURG INTL,Leesburg Int'l Airport,Airport,ASO,LAKE,LEESBURG,FL,Public Use,28.822889,-81.808417,Yes
3220.0,2R9,KARNES COUNTY,Karnes County Airport,Airport,ASW,KARNES,KENEDY,TX,Public Use,28.824986,-97.865568,Yes
826.0,X55,MID FLORIDA AIR SERVICE,Mid Florida Air Service Airport,Airport,ASO,LAKE,EUSTIS,FL,Public Use,28.843333,-81.630083,Yes
3333.0,VCT,VICTORIA RGNL,Victoria Regional Airport,Airport,ASW,VICTORIA,VICTORIA,TX,Public Use,28.852546,-96.918489,Yes
3247.0,5T9,MAVERICK COUNTY MEMORIAL INTL,Maverick County Mem Int'l Airport,Airport,ASW,MAVERICK,EAGLE PASS,TX,Public Use,28.857093,-100.513468,Yes
790.0,CGC,CRYSTAL RIVER,Crystal River Airport,Airport,ASO,CITRUS,CRYSTAL RIVER,FL,Public Use,28.867611,-82.574111,Yes
867.0,X23,UMATILLA MUNI,Umatilla Municipal Airport,Airport,ASO,LAKE,UMATILLA,FL,Public Use,28.924221,-81.651813,Yes
3099.0,BYY,BAY CITY MUNI,Bay City Municipal Airport,Airport,ASW,MATAGORDA,BAY CITY,TX,Public Use,28.97325,-95.863444,Yes
822.0,X50,MASSEY RANCH AIRPARK,Massey Ranch Airport,Airport,ASO,VOLUSIA,NEW SMYRNA BEACH,FL,Public Use,28.978876,-80.925054,Yes
3216.0,26R,JACKSON COUNTY,Jackson County Airport,Airport,ASW,JACKSON,EDNA,TX,Public Use,29.000999,-96.581962,Yes
828.0,EVB,NEW SMYRNA BEACH MUNI,New Smyrna Beach Municipal Airport,Airport,ASO,VOLUSIA,NEW SMYRNA BEACH,FL,Public Use,29.055694,-80.948917,Yes
821.0,X35,MARION COUNTY,Dunnellon Airport,Airport,ASO,MARION,DUNNELLON,FL,Public Use,29.061778,-82.376583,Yes
794.0,DED,DELAND MUNI-SIDNEY H TAYLOR FIELD,Deland Municipal Airport,Airport,ASO,VOLUSIA,DELAND,FL,Public Use,29.067028,-81.28375,Yes
3143.0,T71,CUERO MUNI,Cuero Airport,Airport,ASW,DE WITT,CUERO,TX,Public Use,29.083588,-97.266934,Yes
3324.0,LBX,TEXAS GULF COAST RGNL,Brazoria County Airport,Airport,ASW,BRAZORIA,ANGLETON/LAKE JACKSON,TX,Public Use,29.108639,-95.462083,Yes
3158.0,23R,DEVINE MUNI,Devine Municipal Airport,Airport,ASW,MEDINA,DEVINE,TX,Public Use,29.138389,-98.941889,Yes
833.0,OCF,OCALA INTL-JIM TAYLOR FIELD,Ocala Int'l Airport,Airport,ASO,MARION,OCALA,FL,Public Use,29.171877,-82.224115,Yes
792.0,DAB,DAYTONA BEACH INTL,Daytona Beach Int'l Airport,Airport,ASO,VOLUSIA,DAYTONA BEACH,FL,Federalized/Commercial,29.179917,-81.058056,Yes
3183.0,UVA,GARNER FIELD,Garner Field,Airport,ASW,UVALDE,UVALDE,TX,Public Use,29.211333,-99.743583,Yes
848.0,2J8,PIERSON MUNI,Pierson Municipal Airport,Airport,ASO,VOLUSIA,PIERSON,FL,Public Use,29.250028,-81.459333,Yes
3338.0,ARM,WHARTON RGNL,Wharton Municipal Airport,Airport,ASW,WHARTON,WHARTON,TX,Public Use,29.254278,-96.154389,Yes
3300.0,GLS,SCHOLES INTL AT GALVESTON,Scholes Int'l Airport,Airport,ASW,GALVESTON,GALVESTON,TX,Public Use,29.265333,-94.860417,Yes
838.0,OMN,ORMOND BEACH MUNI,Ormond Beach Municipal Airport,Airport,ASO,VOLUSIA,ORMOND BEACH,FL,Public Use,29.301139,-81.113806,Yes
3347.0,T85,YOAKUM MUNI,Yoakum Municipal Airport,Airport,ASW,LAVACA,YOAKUM,TX,Public Use,29.313167,-97.138417,Yes
3313.0,SSF,STINSON MUNI,Stinson Airport,Airport,ASW,BEXAR,SAN ANTONIO,TX,Public Use,29.336982,-98.471045,Yes
3118.0,CVB,CASTROVILLE MUNI,Castroville Municipal Airport,Airport,ASW,MEDINA,CASTROVILLE,TX,Public Use,29.341889,-98.851,Yes
873.0,X60,WILLISTON MUNI,Williston Municipal Airport,Airport,ASO,LEVY,WILLISTON,FL,Public Use,29.355717,-82.4717,Yes
3310.0,HDO,SOUTH TEXAS RGNL AT HONDO,Hondo Municipal Airport,Airport,ASW,MEDINA,HONDO,TX,Public Use,29.359131,-99.177492,Yes
3154.0,DRT,DEL RIO INTL,Del Rio Int'l Airport,Airport,ASW,VAL VERDE,DEL RIO,TX,Public Use,29.374207,-100.927157,Yes
799.0,XFL,FLAGLER COUNTY,Flagler County Airport,Airport,ASO,FLAGLER,PALM COAST,FL,Public Use,29.467389,-81.206333,Yes
3209.0,AXH,HOUSTON-SOUTHWEST,Houston Southwest Airport,Airport,ASW,FORT BEND,HOUSTON,TX,Public Use,29.506139,-95.476917,Yes
3277.0,LVJ,PEARLAND RGNL,Clover Field Airport,Airport,ASW,BRAZORIA,HOUSTON,TX,Public Use,29.521278,-95.242139,Yes
3292.0,T20,ROGER M. DREYER MEMORIAL,Gonzales Municipal Airport,Airport,ASW,GONZALES,GONZALES,TX,Public Use,29.529124,-97.464303,Yes
3297.0,SAT,SAN ANTONIO INTL,San Antonio Int'l Airport,Airport,ASW,BEXAR,SAN ANTONIO,TX,Federalized/Commercial,29.533694,-98.469778,Yes
1488.0,HUM,HOUMA-TERREBONNE,Houma-Terrebonne Airport,Airport,ASW,TERREBONNE,HOUMA,LA,Public Use,29.566502,-90.660427,Yes
3163.0,ELA,EAGLE LAKE,Eagle Lake Airport,Airport,ASW,COLORADO,EAGLE LAKE,TX,Public Use,29.600667,-96.322056,Yes
3169.0,EFD,ELLINGTON FIELD,Ellington Field-Main,Airport,ASW,HARRIS,HOUSTON,TX,Public Use,29.607333,-95.15875,Yes
3314.0,SGR,SUGAR LAND RGNL,Sugarland Regional Airport,Airport,ASW,FORT BEND,HOUSTON,TX,Public Use,29.62225,-95.656528,Yes
3285.0,T77,PRESIDIO LELY INTL,Presidio Lely Int'l Airport,Airport,ASW,PRESIDIO,PRESIDIO,TX,Public Use,29.634213,-104.361494,Yes
789.0,CTY,CROSS CITY,Cross City Airport,Airport,ASO,DIXIE,CROSS CITY,FL,Public Use,29.635528,-83.10475,Yes
3341.0,HOU,WILLIAM P HOBBY,William P Hobby Airport,Airport,ASW,HARRIS,HOUSTON,TX,Federalized/Commercial,29.645419,-95.278889,Yes
840.0,28J,PALATKA MUNI - LT. KAY LARKIN FIELD,Kay Larkin Airport,Airport,ASO,PUTNAM,PALATKA,FL,Public Use,29.658382,-81.689503,Yes
3227.0,T41,LA PORTE MUNI,La Porte Municipal Airport,Airport,ASW,HARRIS,LA PORTE,TX,Public Use,29.66925,-95.064194,Yes
803.0,GNV,GAINESVILLE RGNL,Gainesville Regional Airport,Airport,ASO,ALACHUA,GAINESVILLE,FL,Federalized/Commercial,29.690056,-82.271778,Yes
3337.0,O07,WESTHEIMER AIR PARK,Westheimer Air Park,Airport,ASW,FORT BEND,HOUSTON,TX,Public Use,29.694677,-95.794673,Yes
3264.0,BAZ,NEW BRAUNFELS RGNL,New Braunfels Municipal Airport,Airport,ASW,GUADALUPE,NEW BRAUNFELS,TX,Public Use,29.7045,-98.042222,Yes
1485.0,PTN,HARRY P WILLIAMS MEMORIAL,Harry P Williams Memorial Airiport,Airport,ASW,ST MARY,PATTERSON,LA,Public Use,29.709546,-91.338979,Yes
3105.0,5C1,BOERNE STAGE FIELD,Boerne Stage Airfield,Airport,ASW,BEXAR,SAN ANTONIO,TX,Public Use,29.723929,-98.694642,Yes
776.0,AAF,APALACHICOLA REGIONAL,Apalachicola Municipal Airport,Airport,ASO,FRANKLIN,APALACHICOLA,FL,Public Use,29.727549,-85.027377,Yes
3325.0,T91,THE CARTER MEMORIAL,The Carter Memorial Airport,Airport,ASW,CALDWELL,LULING,TX,Public Use,29.728283,-97.659443,Yes
3120.0,T00,CHAMBERS COUNTY,Chambers County Airport,Airport,ASW,CHAMBERS,ANAHUAC,TX,Public Use,29.769815,-94.663487,Yes
3100.0,HPY,BAYTOWN,Baytown Airport,Airport,ASW,HARRIS,BAYTOWN,TX,Public Use,29.786083,-94.952667,Yes
3336.0,IWS,WEST HOUSTON,West Houston Lakeside Airport,Airport,ASW,HARRIS,HOUSTON,TX,Public Use,29.818194,-95.672611,Yes
3121.0,T90,CHAMBERS COUNTY-WINNIE STOWELL,Winnie Community Airport,Airport,ASW,CHAMBERS,WINNIE/STOWELL,TX,Public Use,29.818856,-94.430978,Yes
812.0,42J,KEYSTONE AIRPARK,Keystone Airpark,Airport,ASO,CLAY,KEYSTONE HEIGHTS,FL,Public Use,29.84475,-82.047528,Yes
3239.0,50R,LOCKHART MUNI,Lockhart Municipal Airport,Airport,ASW,CALDWELL,LOCKHART,TX,Public Use,29.850333,-97.672417,Yes
3299.0,HYI,SAN MARCOS MUNI,San Marcos Municipal Airport,Airport,ASW,CALDWELL,SAN MARCOS,TX,Public Use,29.89275,-97.863,Yes
1499.0,2R1,LE MAIRE MEMORIAL,Le Maire Memorial Airport,Airport,ASW,IBERIA,JEANERETTE,LA,Public Use,29.899069,-91.666,Yes
3172.0,3T5,FAYETTE RGNL AIR CENTER,Fayette Regional Air Center Airport,Airport,ASW,FAYETTE,LA GRANGE,TX,Public Use,29.907972,-96.95,Yes
3335.0,EYQ,WEISER AIR PARK,Weiser Airport,Airport,ASW,HARRIS,HOUSTON,TX,Public Use,29.935571,-95.639373,Yes
3214.0,BPT,JACK BROOKS RGNL,Southeast Texas Regional Airport,Airport,ASW,JEFFERSON,BEAUMONT/PORT ARTHUR,TX,Public Use,29.950833,-94.020694,Yes
831.0,SGJ,NORTHEAST FLORIDA RGNL,St Augustine Airport,Airport,ASO,ST JOHNS,ST AUGUSTINE,FL,Public Use,29.95925,-81.339722,Yes
