,city,company,salary,summary,title
96,San+Francisco,Affirm,,Conduct ad-hoc data analyses; Deep understanding of and experience with machine learning and data analysis. Build production fraud and credit machine learning...,Data Scientist
97,San+Francisco,Endgame,,Managed a team of data scientists and set the technical direction of the team. Delivered high-quality internal machine learning tools and customer-facing data...,Director of Data Science
98,San+Francisco,Uber,,You will be working with team of data scientists responsible for providing insights to the finance leadership to make financial decisions....,"Sr Data Scientist, Finance"
99,San+Francisco,Shutterfly,,The Data Scientist will be responsible for identifying opportunities to use customer driven analytics and marketing optimization techniques to improve decision...,Data Scientist
100,San+Francisco,Von Church,,"2+ years of experience in a data analyst, financial analyst, data scientist or similar role performing quantitative, statistical or financial analysis....",Jr. Data Analyst
101,San+Francisco,Adobe,,Search Data Scientist. Experimental data analysis. Looking for a data scientist to drive A/B testing and evaluation in our....,Search Data Scientist
102,San+Francisco,Walmart eCommerce,,"We are Big Data Engineers, Data Analysts, Data Scientists and Applications Engineers, working in small groups to solve sophisticated and impactful problems....",Smart Pricing Data Analyst
103,San+Francisco,Workday,,Work with product managers to formulate the data analytics problem. Join our team and experience Workday!...,Data Scientist
104,San+Francisco,Walmart eCommerce,,"Staying current on published data mining, machine learning and modeling techniques and competing technologies and sharing these findings with scientists and...",Machine Learning Scientist
105,San+Francisco,Walmart eCommerce,,"Staying current on published data mining, machine learning and modeling techniques and competing technologies and sharing these findings with scientists and...",Machine Learning Scientist
106,San+Francisco,Collabera,,Pull data from Teradata or oracle. 3-5 years of exp in handling large data set. SAS and SQL are primary skill....,Data Scientist
107,San+Francisco,Mckesson,,"Expertise troubleshooting data quality issues, analyzing data requirements, and utilizing big data systems. The Data Engineer will work with data scientists,...","Data Engineer, Six Sigma"
108,San+Francisco,Workbridge Associates,"$150,000 - $180,000 a year",A well-known San Francisco gaming company is looking to add a Senior Data Scientist to their team. They are looking for someone to build new products using...,Senior Data Scientist
109,San+Francisco,Kabbage,,"What it takes to be a Data Scientist at Kabbage. A day in the life of a Data Scientist at Kabbage. Work with multiple, complex data sources such as financial...",Data Scientist
110,San+Francisco,Principle Solutions Group,,"Cloudera, Hadoop, Hive, Sqoop, Pig, Impala, Parkour, Kafka, Spark, Big Data, R, Python, statistics, data scientist, JSON, AVRO, HBase, Cassandra, data ingestion...",Data Scientist
111,San+Francisco,Credit Karma,,Credit Karma’s fast growing Data Sciences team is seeking an experienced Senior Data Scientist. Motivate and mentor other data scientists to grow their skills...,Data Scientist
112,San+Francisco,Finezi Inc,,"Data Scientist, Expert*. Experience is collecting data from various data sources with different data platforms....",Data Scientist
113,San+Francisco,Collective Health,,You'll also work collaboratively with health data scientists and actuaries to productize insights derived from their analysis....,Data Engineer
114,San+Francisco,Radius,,"Well versed in data visualization and exploratory data analysis. Knowledge of algorithms, and data structures....",Data Intelligence Engineer
115,San+Francisco,O'Reilly Media,,"Junior Research Scientist. This position is responsible for … Collaborating with Principal Learning Scientist, Learning Group, and key personnel and data...",Junior Research Scientist
116,San+Francisco,Virta Health,,CLINICAL INFORMATICS SCIENTIST. Develop tools for data flows to automate currently manual data analysis and workflow tasks....,Clinical Informatics Scientist
117,San+Francisco,Walmart eCommerce,,"As a Data Scientist you will play a unique role in driving the future of the next generation supply chain by researching, designing and implementing cutting...",Data Scientist
118,San+Francisco,Roche,,The Scientist is typically the lead representative on cross-functional real-world data analysis teams. Good understanding of research and commercial real-world...,Data Scientist (Epidemiology & Health Economics Focus)
119,San+Francisco,Workday,,Work with product managers to formulate the data analytics problem. Join our team and experience Workday!...,Data Scientist
120,San+Francisco,Walmart eCommerce,,"Staying current on published data mining, machine learning and modeling techniques and competing technologies and sharing these findings with scientists and...",Machine Learning Scientist
121,San+Francisco,Collabera,,Pull data from Teradata or oracle. 3-5 years of exp in handling large data set. SAS and SQL are primary skill....,Data Scientist
122,San+Francisco,Genentech,,The SPA Therapeutic Area (TA) Data Analytics Manager has responsibility for leading a team of data analytics specialists supporting the critical data...,"Data Analytics Manager, Statistical Programming and Analysis"
123,San+Francisco,Galvanize,,"GalvanizeU has a tight-knit team of data scientists, educators, and community builders that are creating a pathway onto industry’s most demanding data science...","gU Faculty, Principal Data Scientist"
124,San+Francisco,Real Staffing,,"Close collaboration with data engineers to ensure availability of data. Proven success as data scientist/architect working with large data sets, preferably...",Data Scientist
125,San+Francisco,Opendoor,,Collaborate with Data Scientists to derive features that improve our pricing models. Nelson is a data scientist who was formerly on the AdWords team at Google....,Data Engineer
126,San+Francisco,MUFG,,"Senior Quantitative Analyst, Vice President - 10006738-WD Description Join a financial group that’s as committed to your future as you are. At MUFG, we","Senior Quantitative Analyst, Vice President"
127,San+Francisco,Genentech,,"Biostatisticians, PCOR Scientist, Safety Scientist, Clinical Scientist, Biomarker Scientist, etc.). Proactively maintain comprehensive knowledge of clinical...","Senior Data Analytics Specialist, Statistical Programming an..."
128,San+Francisco,Lyft Corporate,,We need talented Data Scientists to find new insights from our data that will translate into business impact....,Senior Data Scientist
129,San+Francisco,Seven Bridges,,Previous experience with large-scale genomic data (e.g. Proficient in next-generation sequencing data analysis and variant analysis....,Bioinformatics Scientist
130,San+Francisco,Funding Circle,,Data remediation experience. They partner with business users / data scientists to provide insight for all types of questions....,Data Analyst
131,San+Francisco,Salesforce,,"The Product Data Science (PDS) team is made up of data scientists, engineers, and growth analysts who are dedicated to driving product strategy with data-driven...","Growth Analyst, Product Data Science Intern: Summer 2016"
132,San+Francisco,Walmart eCommerce,,"As a Data Scientist you will play a unique role in driving the future of the next generation supply chain by researching, designing and implementing cutting...",Data Scientist
133,San+Francisco,Roche,,The Scientist is typically the lead representative on cross-functional real-world data analysis teams. Good understanding of research and commercial real-world...,Data Scientist (Epidemiology & Health Economics Focus)
134,San+Francisco,Workday,,Work with product managers to formulate the data analytics problem. Join our team and experience Workday!...,Data Scientist
135,San+Francisco,Roche,,The Scientist is typically the lead representative on cross-functional real-world data analysis teams. Good understanding of research and commercial real-world...,Data Scientist (Epidemiology & Health Economics Focus)
136,San+Francisco,Walmart eCommerce,,"Staying current on published data mining, machine learning and modeling techniques and competing technologies and sharing these findings with scientists and...",Machine Learning Scientist
137,San+Francisco,Collabera,,Pull data from Teradata or oracle. 3-5 years of exp in handling large data set. SAS and SQL are primary skill....,Data Scientist
138,San+Francisco,Mattel,,"Professional experience working with both customer and research data sets. Evaluate, select and test tools used to perform data analysis and regression....",Principal Data Scientist
139,San+Francisco,TellApart,,Data is at the core of everything we do at TellApart - we thrive and prosper based on our ability to find insights in our data and apply them to drive revenue...,Software Engineer (Machine Learning) - TellApart
140,San+Francisco,Ten-X,,Perform exploratory and targeted data analyses on structured and unstructured data. May collaborate with technical teams on the application and deployment of...,Associate Data Scientist
141,San+Francisco,Workbridge Associates,"$120,000 - $165,000 a year","Familiarity with data visualization, web analytics and modeling. 5+ years experience in machine learning and big data technologies (Hadoop or Spark preferred)....",Senior Level Data Scientist
142,San+Francisco,Insikt,,Insikt is searching for a Data Scientist to push our Credit Risk team to the next level. Experience handling & working with large data sets....,Data Scientist
143,San+Francisco,Denali,,"In anticipation of the Company’s growth plans, Denali Therapeutics is seeking to recruit a Scientist/ Senior Scientist focusing on using bioinformatics to...","Scientist/Sr. Scientist, Bioinformatics"
144,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare)
145,San+Francisco,Walmart eCommerce,,"We are a highly motivated group of Big Data Geeks, Data Scientists and Applications Engineers, working in small agile group to solve sophisticated and high...",Senior Software Engineer - Big Data Engineer
146,San+Francisco,VigLink,,"Senior Data Scientist. About the Senior Data Scientist role:. VigLink is looking for a Senior Data Scientist with strong Hadoop, Hive and SQL skills, and...",Senior Data Scientist
147,San+Francisco,Walmart eCommerce,,Staff Data Scientists are responsible for building large data sets from multiple sources in order to build algorithms for predicting future data characteristics...,Staff Data Scientist
148,San+Francisco,Walmart eCommerce,,"As a Data Scientist you will play a unique role in driving the future of the next generation supply chain by researching, designing and implementing cutting...",Data Scientist
149,San+Francisco,Workday,,Work with product managers to formulate the data analytics problem. Join our team and experience Workday!...,Data Scientist
150,San+Francisco,Walmart eCommerce,,"Staying current on published data mining, machine learning and modeling techniques and competing technologies and sharing these findings with scientists and...",Machine Learning Scientist
151,San+Francisco,Collabera,,Pull data from Teradata or oracle. 3-5 years of exp in handling large data set. SAS and SQL are primary skill....,Data Scientist
152,San+Francisco,Uber,,"You like sifting through terabytes of data, moving them from system to system, transforming them from one format to the other in the most efficient way....",Software Engineer - Machine Learning
153,San+Francisco,Castlight Health,,We’re hiring data scientists for a team to tackle a series of greenfield projects. Creativity and a startup mindset - we look to our data scientists to...,Senior Data Science Engineer
154,San+Francisco,Uber,,The Data Scientist - Rider role will provide the data expertise as we drive towards enhancing growth and deepening engagement....,Data Science - Rider
155,San+Francisco,Earnest,,We’re looking for an experienced and creative Senior Data Scientist to join our data team - the team responsible for making our vision a reality....,Senior Data Scientist
156,San+Francisco,GE Digital,,"Work with data engineers on data quality assessment, data cleansing and data analytics. Demonstrated awareness of data management methods....",Machine Learning Engineer
157,San+Francisco,DiscoveRx Corporation,,"Scientist/Senior Scientist position currently open at BioSeek, a division of DiscoverX for a highly motivated and innovative scientist with comprehensive...",Scientist/Senior Scientist
158,San+Francisco,The Climate Corporation,,Our team is composed of top scientists and engineers. Develop best practices for big data processing and scalable machine learning algorithms....,Machine Learning Engineer
159,San+Francisco,Jawbone,,"The Team You can’t wait to join a team of data scientists, data engineers, and data visualization experts and make a huge impact on our best-in-class software....",Data Scientist
160,San+Francisco,University of California San Francisco,,"By fostering cross-disciplinary interactions among scientists around the world, we accelerate the pace of discovery and champion the University's global health...",Developer / Statistician
161,San+Francisco,AJ+,,"This individual will work with Editorial and Audience Development departments to manage the implementation of data visualization, machine learning, and other...",Head of Data
162,San+Francisco,Roche,,The Scientist is typically the lead representative on cross-functional real-world data analysis teams. Good understanding of research and commercial real-world...,Data Scientist (Epidemiology & Health Economics Focus)
163,San+Francisco,Walmart eCommerce,,"As a Data Scientist you will play a unique role in driving the future of the next generation supply chain by researching, designing and implementing cutting...",Data Scientist
164,San+Francisco,Workday,,Work with product managers to formulate the data analytics problem. Join our team and experience Workday!...,Data Scientist
165,San+Francisco,Walmart eCommerce,,"Staying current on published data mining, machine learning and modeling techniques and competing technologies and sharing these findings with scientists and...",Machine Learning Scientist
166,San+Francisco,Collabera,,Pull data from Teradata or oracle. 3-5 years of exp in handling large data set. SAS and SQL are primary skill....,Data Scientist
167,San+Francisco,Elevate Recruiting Group,,Data Scientist San Francisco. A great scientist doesn't simply analyze data to answer a question. Statistical truth draws on data....,Data Scientist
168,San+Francisco,Smith Hanley Associates,"$140,000 - $160,000 a year","This person will recruit, build and lead a team of Data Scientists. Top technology firm in the Bay Area seeks a Data Scientist for a leadership role in consumer...",Data Scientist
169,San+Francisco,Castlight Health,,"We’re hiring data scientists for a team to tackle a series of greenfield projects. The ideal candidate will be an entrepreneurial, motivated data scientist who...",Senior Data Scientist
170,San+Francisco,Vertisystem Inc.,,"We are looking for a passionate, experienced Data Scientist professional to join our team. Strong experience with data quality....",Data Scientist
171,San+Francisco,"Kanjoya, Inc.",,"Data Scientist– Kanjoya San Francisco, Ca. We're a nimble, sharp, and passionate team, and we're looking for data scientists who want to have impact on a real...",Data Scientist
172,San+Francisco,DNN Corp.,,"The Senior Data Scientist role involves working on all the stages of the data science pipeline, from acquiring and understanding the data, modeling various...",Senior Data Scientist
173,San+Francisco,Workday,,"Work with product managers to formulate the data analytics problem. Professional experience analyzing large-scale complex data sets, modeling, and productizing...",Senior Data Scientist
174,San+Francisco,Walmart eCommerce,,"As a Data Scientist you will play a unique role in driving the future of the next generation supply chain by researching, designing and implementing cutting...",Data Scientist
175,San+Francisco,Evidera,,"Research Scientist - Meta Research – San Francisco, CA. We are looking for a Research Scientist for our Meta Research team....","Research Scientist - Meta Research - San Francisco, CA"
176,San+Francisco,Expect Labs,,Data Quality Engineer. Experience manipulating large volumes of data. Create new and curate existing data collections....,Data Quality Engineer
177,San+Francisco,Roche,,The Scientist is typically the lead representative on cross-functional real-world data analysis teams. Good understanding of research and commercial real-world...,Data Scientist (Epidemiology & Health Economics Focus)
178,San+Francisco,Walmart eCommerce,,"As a Data Scientist you will play a unique role in driving the future of the next generation supply chain by researching, designing and implementing cutting...",Data Scientist
179,San+Francisco,Workday,,Work with product managers to formulate the data analytics problem. Join our team and experience Workday!...,Data Scientist
180,San+Francisco,Walmart eCommerce,,"Staying current on published data mining, machine learning and modeling techniques and competing technologies and sharing these findings with scientists and...",Machine Learning Scientist
181,San+Francisco,Collabera,,Pull data from Teradata or oracle. 3-5 years of exp in handling large data set. SAS and SQL are primary skill....,Data Scientist
182,San+Francisco,Trulia,,"As a member of the Data Warehousing & Analytics team, you'll collaborate closely with analysts, data warehouse engineers, product managers, data scientists, and...",Analytics Implementation Specialist
183,San+Francisco,Space-Time Insight,,"The Data Scientist will also own the roadmap for analytic functionality in specific areas. In particular, the data scientist will focus on Big Data Scala...",Sr. Data Scientist
184,San+Francisco,Andiamo! Group,,Data Scientist (2601). Possess the ability to devise data driven sets. We are looking for someone who is passionate about nutrition and big data....,Data Scientist
185,San+Francisco,The Climate Corporation,,Evaluate the limitations of existing data sources and provide concrete recommendations for data needs. The Climate Corporation is looking for experienced...,Senior Statistician
