Year,Artist,Track,Week,Rank
2000,3 Doors Down,Loser,18 ,67
2000,3 Doors Down,Loser,19 ,73
2000,3 Doors Down,Loser,2 ,76
2000,3 Doors Down,Loser,20 ,70
2000,3 Doors Down,Loser,3 ,72
2000,3 Doors Down,Loser,4 ,69
2000,3 Doors Down,Loser,5 ,67
2000,3 Doors Down,Loser,6 ,65
2000,3 Doors Down,Loser,7 ,55
2000,3 Doors Down,Loser,8 ,59
2000,3 Doors Down,Loser,9 ,62
2000,504 Boyz,Wobble Wobble,1 ,57
2000,504 Boyz,Wobble Wobble,10 ,57
2000,504 Boyz,Wobble Wobble,11 ,64
2000,504 Boyz,Wobble Wobble,12 ,70
2000,504 Boyz,Wobble Wobble,13 ,75
2000,504 Boyz,Wobble Wobble,14 ,76
2000,504 Boyz,Wobble Wobble,15 ,78
2000,504 Boyz,Wobble Wobble,16 ,85
2000,504 Boyz,Wobble Wobble,17 ,92
2000,504 Boyz,Wobble Wobble,18 ,96
2000,504 Boyz,Wobble Wobble,2 ,34
2000,504 Boyz,Wobble Wobble,3 ,25
2000,504 Boyz,Wobble Wobble,4 ,17
2000,504 Boyz,Wobble Wobble,5 ,17
2000,504 Boyz,Wobble Wobble,6 ,31
2000,504 Boyz,Wobble Wobble,7 ,36
2000,504 Boyz,Wobble Wobble,8 ,49
2000,504 Boyz,Wobble Wobble,9 ,53
2000,98¡,Give Me Just One Nig,1 ,51
2000,98¡,Give Me Just One Nig,10 ,6
2000,98¡,Give Me Just One Nig,11 ,7
2000,98¡,Give Me Just One Nig,12 ,22
2000,98¡,Give Me Just One Nig,13 ,29
2000,98¡,Give Me Just One Nig,14 ,36
2000,98¡,Give Me Just One Nig,15 ,47
2000,98¡,Give Me Just One Nig,16 ,67
2000,98¡,Give Me Just One Nig,17 ,66
2000,98¡,Give Me Just One Nig,18 ,84
2000,98¡,Give Me Just One Nig,19 ,93
2000,98¡,Give Me Just One Nig,2 ,39
2000,98¡,Give Me Just One Nig,20 ,94
2000,98¡,Give Me Just One Nig,3 ,34
2000,98¡,Give Me Just One Nig,4 ,26
2000,98¡,Give Me Just One Nig,5 ,26
2000,98¡,Give Me Just One Nig,6 ,19
2000,98¡,Give Me Just One Nig,7 ,2
2000,98¡,Give Me Just One Nig,8 ,2
2000,98¡,Give Me Just One Nig,9 ,3
2000,A*Teens,Dancing Queen,1 ,97
2000,A*Teens,Dancing Queen,2 ,97
2000,A*Teens,Dancing Queen,3 ,96
2000,A*Teens,Dancing Queen,4 ,95
2000,A*Teens,Dancing Queen,5 ,100
2000,Aaliyah,I Don't Wanna,1 ,84
2000,Aaliyah,I Don't Wanna,10 ,36
2000,Aaliyah,I Don't Wanna,11 ,37
2000,Aaliyah,I Don't Wanna,12 ,37
2000,Aaliyah,I Don't Wanna,13 ,38
2000,Aaliyah,I Don't Wanna,14 ,49
2000,Aaliyah,I Don't Wanna,15 ,61
2000,Aaliyah,I Don't Wanna,16 ,63
2000,Aaliyah,I Don't Wanna,17 ,62
2000,Aaliyah,I Don't Wanna,18 ,67
2000,Aaliyah,I Don't Wanna,19 ,83
2000,Aaliyah,I Don't Wanna,2 ,62
2000,Aaliyah,I Don't Wanna,20 ,86
2000,Aaliyah,I Don't Wanna,3 ,51
2000,Aaliyah,I Don't Wanna,4 ,41
2000,Aaliyah,I Don't Wanna,5 ,38
2000,Aaliyah,I Don't Wanna,6 ,35
2000,Aaliyah,I Don't Wanna,7 ,35
2000,Aaliyah,I Don't Wanna,8 ,38
2000,Aaliyah,I Don't Wanna,9 ,38
2000,Aaliyah,Try Again,1 ,59
2000,Aaliyah,Try Again,10 ,10
2000,Aaliyah,Try Again,11 ,9
2000,Aaliyah,Try Again,12 ,8
2000,Aaliyah,Try Again,13 ,6
2000,Aaliyah,Try Again,14 ,1
2000,Aaliyah,Try Again,15 ,2
2000,Aaliyah,Try Again,16 ,2
2000,Aaliyah,Try Again,17 ,2
2000,Aaliyah,Try Again,18 ,2
2000,Aaliyah,Try Again,19 ,3
2000,Aaliyah,Try Again,2 ,53
2000,Aaliyah,Try Again,20 ,4
2000,Aaliyah,Try Again,21 ,5
2000,Aaliyah,Try Again,22 ,5
2000,Aaliyah,Try Again,23 ,6
2000,Aaliyah,Try Again,24 ,9
2000,Aaliyah,Try Again,25 ,13
2000,Aaliyah,Try Again,26 ,14
2000,Aaliyah,Try Again,27 ,16
2000,Aaliyah,Try Again,28 ,23
2000,Aaliyah,Try Again,29 ,22
2000,Aaliyah,Try Again,3 ,38
2000,Aaliyah,Try Again,30 ,33
2000,Aaliyah,Try Again,31 ,36
2000,Aaliyah,Try Again,32 ,43
2000,Aaliyah,Try Again,4 ,28
2000,Aaliyah,Try Again,5 ,21
2000,Aaliyah,Try Again,6 ,18
2000,Aaliyah,Try Again,7 ,16
2000,Aaliyah,Try Again,8 ,14
2000,Aaliyah,Try Again,9 ,12
2000,"Adams, Yolanda",Open My Heart,1 ,76
2000,"Adams, Yolanda",Open My Heart,10 ,59
2000,"Adams, Yolanda",Open My Heart,11 ,66
2000,"Adams, Yolanda",Open My Heart,12 ,68
2000,"Adams, Yolanda",Open My Heart,13 ,61
2000,"Adams, Yolanda",Open My Heart,14 ,67
2000,"Adams, Yolanda",Open My Heart,15 ,59
2000,"Adams, Yolanda",Open My Heart,16 ,63
2000,"Adams, Yolanda",Open My Heart,17 ,67
2000,"Adams, Yolanda",Open My Heart,18 ,71
2000,"Adams, Yolanda",Open My Heart,19 ,79
2000,"Adams, Yolanda",Open My Heart,2 ,76
2000,"Adams, Yolanda",Open My Heart,20 ,89
2000,"Adams, Yolanda",Open My Heart,3 ,74
2000,"Adams, Yolanda",Open My Heart,4 ,69
2000,"Adams, Yolanda",Open My Heart,5 ,68
2000,"Adams, Yolanda",Open My Heart,6 ,67
2000,"Adams, Yolanda",Open My Heart,7 ,61
2000,"Adams, Yolanda",Open My Heart,8 ,58
2000,"Adams, Yolanda",Open My Heart,9 ,57
2000,"Adkins, Trace",More,1 ,84
2000,"Adkins, Trace",More,10 ,83
2000,"Adkins, Trace",More,11 ,92
2000,"Adkins, Trace",More,2 ,84
2000,"Adkins, Trace",More,3 ,75
2000,"Adkins, Trace",More,4 ,73
2000,"Adkins, Trace",More,5 ,73
2000,"Adkins, Trace",More,6 ,69
2000,"Adkins, Trace",More,7 ,68
2000,"Adkins, Trace",More,8 ,65
2000,"Adkins, Trace",More,9 ,73
2000,"Aguilera, Christina",Come On Over Baby (A,1 ,57
2000,"Aguilera, Christina",Come On Over Baby (A,10 ,11
2000,"Aguilera, Christina",Come On Over Baby (A,11 ,1
2000,"Aguilera, Christina",Come On Over Baby (A,12 ,1
2000,"Aguilera, Christina",Come On Over Baby (A,13 ,1
2000,"Aguilera, Christina",Come On Over Baby (A,14 ,1
2000,"Aguilera, Christina",Come On Over Baby (A,15 ,4
2000,"Aguilera, Christina",Come On Over Baby (A,16 ,8
2000,"Aguilera, Christina",Come On Over Baby (A,17 ,12
2000,"Aguilera, Christina",Come On Over Baby (A,18 ,22
2000,"Aguilera, Christina",Come On Over Baby (A,19 ,23
2000,"Aguilera, Christina",Come On Over Baby (A,2 ,47
2000,"Aguilera, Christina",Come On Over Baby (A,20 ,43
2000,"Aguilera, Christina",Come On Over Baby (A,21 ,44
2000,"Aguilera, Christina",Come On Over Baby (A,3 ,45
2000,"Aguilera, Christina",Come On Over Baby (A,4 ,29
2000,"Aguilera, Christina",Come On Over Baby (A,5 ,23
2000,"Aguilera, Christina",Come On Over Baby (A,6 ,18
2000,"Aguilera, Christina",Come On Over Baby (A,7 ,11
2000,"Aguilera, Christina",Come On Over Baby (A,8 ,9
2000,"Aguilera, Christina",Come On Over Baby (A,9 ,9
2000,"Aguilera, Christina",I Turn To You,1 ,50
2000,"Aguilera, Christina",I Turn To You,10 ,17
2000,"Aguilera, Christina",I Turn To You,11 ,17
2000,"Aguilera, Christina",I Turn To You,12 ,3
2000,"Aguilera, Christina",I Turn To You,13 ,3
2000,"Aguilera, Christina",I Turn To You,14 ,7
2000,"Aguilera, Christina",I Turn To You,15 ,10
2000,"Aguilera, Christina",I Turn To You,16 ,17
2000,"Aguilera, Christina",I Turn To You,17 ,25
2000,"Aguilera, Christina",I Turn To You,18 ,29
2000,"Aguilera, Christina",I Turn To You,19 ,29
2000,"Aguilera, Christina",I Turn To You,2 ,39
2000,"Aguilera, Christina",I Turn To You,20 ,40
2000,"Aguilera, Christina",I Turn To You,21 ,43
2000,"Aguilera, Christina",I Turn To You,22 ,50
2000,"Aguilera, Christina",I Turn To You,3 ,30
2000,"Aguilera, Christina",I Turn To You,4 ,28
2000,"Aguilera, Christina",I Turn To You,5 ,21
2000,"Aguilera, Christina",I Turn To You,6 ,19
2000,"Aguilera, Christina",I Turn To You,7 ,20
2000,"Aguilera, Christina",I Turn To You,8 ,17
2000,"Aguilera, Christina",I Turn To You,9 ,17
2000,"Aguilera, Christina",What A Girl Wants,1 ,71
2000,"Aguilera, Christina",What A Girl Wants,10 ,2
2000,"Aguilera, Christina",What A Girl Wants,11 ,2
2000,"Aguilera, Christina",What A Girl Wants,12 ,3
2000,"Aguilera, Christina",What A Girl Wants,13 ,3
2000,"Aguilera, Christina",What A Girl Wants,14 ,4
2000,"Aguilera, Christina",What A Girl Wants,15 ,12
2000,"Aguilera, Christina",What A Girl Wants,16 ,11
2000,"Aguilera, Christina",What A Girl Wants,17 ,13
2000,"Aguilera, Christina",What A Girl Wants,18 ,15
2000,"Aguilera, Christina",What A Girl Wants,19 ,18
2000,"Aguilera, Christina",What A Girl Wants,2 ,51
2000,"Aguilera, Christina",What A Girl Wants,20 ,20
2000,"Aguilera, Christina",What A Girl Wants,21 ,30
2000,"Aguilera, Christina",What A Girl Wants,22 ,40
2000,"Aguilera, Christina",What A Girl Wants,23 ,39
2000,"Aguilera, Christina",What A Girl Wants,24 ,44
2000,"Aguilera, Christina",What A Girl Wants,3 ,28
2000,"Aguilera, Christina",What A Girl Wants,4 ,18
2000,"Aguilera, Christina",What A Girl Wants,5 ,13
2000,"Aguilera, Christina",What A Girl Wants,6 ,13
2000,"Aguilera, Christina",What A Girl Wants,7 ,11
2000,"Aguilera, Christina",What A Girl Wants,8 ,1
2000,"Aguilera, Christina",What A Girl Wants,9 ,1
2000,Alice Deejay,Better Off Alone,1 ,79
2000,Alice Deejay,Better Off Alone,10 ,30
2000,Alice Deejay,Better Off Alone,11 ,36
2000,Alice Deejay,Better Off Alone,12 ,37
2000,Alice Deejay,Better Off Alone,13 ,39
2000,Alice Deejay,Better Off Alone,14 ,49
2000,Alice Deejay,Better Off Alone,15 ,57
2000,Alice Deejay,Better Off Alone,16 ,63
2000,Alice Deejay,Better Off Alone,17 ,65
2000,Alice Deejay,Better Off Alone,18 ,68
2000,Alice Deejay,Better Off Alone,19 ,79
2000,Alice Deejay,Better Off Alone,2 ,65
2000,Alice Deejay,Better Off Alone,20 ,86
2000,Alice Deejay,Better Off Alone,3 ,53
2000,Alice Deejay,Better Off Alone,4 ,48
2000,Alice Deejay,Better Off Alone,5 ,45
2000,Alice Deejay,Better Off Alone,6 ,36
2000,Alice Deejay,Better Off Alone,7 ,34
2000,Alice Deejay,Better Off Alone,8 ,29
2000,Alice Deejay,Better Off Alone,9 ,27
2000,"Allan, Gary",Smoke Rings In The D,1 ,80
2000,"Allan, Gary",Smoke Rings In The D,2 ,78
2000,"Allan, Gary",Smoke Rings In The D,3 ,76
2000,"Allan, Gary",Smoke Rings In The D,4 ,77
2000,"Allan, Gary",Smoke Rings In The D,5 ,92
2000,Amber,Sexual (Li Da Di),1 ,99
2000,Amber,Sexual (Li Da Di),11 ,99
2000,Amber,Sexual (Li Da Di),13 ,96
2000,Amber,Sexual (Li Da Di),14 ,96
2000,Amber,Sexual (Li Da Di),15 ,99
2000,Amber,Sexual (Li Da Di),16 ,98
2000,Amber,Sexual (Li Da Di),17 ,98
2000,Amber,Sexual (Li Da Di),19 ,95
2000,Amber,Sexual (Li Da Di),2 ,99
2000,Amber,Sexual (Li Da Di),20 ,88
2000,Amber,Sexual (Li Da Di),21 ,88
2000,Amber,Sexual (Li Da Di),22 ,79
2000,Amber,Sexual (Li Da Di),23 ,76
2000,Amber,Sexual (Li Da Di),24 ,69
2000,Amber,Sexual (Li Da Di),25 ,69
2000,Amber,Sexual (Li Da Di),26 ,59
2000,Amber,Sexual (Li Da Di),27 ,58
2000,Amber,Sexual (Li Da Di),28 ,58
2000,Amber,Sexual (Li Da Di),29 ,49
2000,Amber,Sexual (Li Da Di),3 ,96
2000,Amber,Sexual (Li Da Di),30 ,44
2000,Amber,Sexual (Li Da Di),31 ,42
2000,Amber,Sexual (Li Da Di),32 ,46
2000,Amber,Sexual (Li Da Di),33 ,50
2000,Amber,Sexual (Li Da Di),4 ,96
2000,Amber,Sexual (Li Da Di),5 ,100
2000,Amber,Sexual (Li Da Di),6 ,93
2000,Amber,Sexual (Li Da Di),7 ,93
2000,Amber,Sexual (Li Da Di),8 ,96
2000,Anastacia,I'm Outta Love,1 ,92
2000,Anastacia,I'm Outta Love,12 ,97
2000,Anastacia,I'm Outta Love,4 ,95
2000,"Anthony, Marc",My Baby You,1 ,82
2000,"Anthony, Marc",My Baby You,10 ,76
2000,"Anthony, Marc",My Baby You,11 ,73
2000,"Anthony, Marc",My Baby You,12 ,74
2000,"Anthony, Marc",My Baby You,13 ,87
2000,"Anthony, Marc",My Baby You,14 ,83
2000,"Anthony, Marc",My Baby You,15 ,89
2000,"Anthony, Marc",My Baby You,16 ,93
2000,"Anthony, Marc",My Baby You,17 ,94
2000,"Anthony, Marc",My Baby You,18 ,94
2000,"Anthony, Marc",My Baby You,19 ,91
2000,"Anthony, Marc",My Baby You,2 ,76
2000,"Anthony, Marc",My Baby You,20 ,90
2000,"Anthony, Marc",My Baby You,3 ,76
2000,"Anthony, Marc",My Baby You,4 ,70
2000,"Anthony, Marc",My Baby You,5 ,82
2000,"Anthony, Marc",My Baby You,6 ,81
2000,"Anthony, Marc",My Baby You,7 ,74
2000,"Anthony, Marc",My Baby You,8 ,80
2000,"Anthony, Marc",My Baby You,9 ,76
2000,"Anthony, Marc",You Sang To Me,1 ,77
2000,"Anthony, Marc",You Sang To Me,10 ,13
2000,"Anthony, Marc",You Sang To Me,11 ,13
2000,"Anthony, Marc",You Sang To Me,12 ,13
2000,"Anthony, Marc",You Sang To Me,13 ,13
2000,"Anthony, Marc",You Sang To Me,14 ,5
2000,"Anthony, Marc",You Sang To Me,15 ,2
2000,"Anthony, Marc",You Sang To Me,16 ,2
2000,"Anthony, Marc",You Sang To Me,17 ,5
2000,"Anthony, Marc",You Sang To Me,18 ,7
2000,"Anthony, Marc",You Sang To Me,19 ,9
2000,"Anthony, Marc",You Sang To Me,2 ,54
2000,"Anthony, Marc",You Sang To Me,20 ,12
2000,"Anthony, Marc",You Sang To Me,21 ,12
2000,"Anthony, Marc",You Sang To Me,22 ,16
2000,"Anthony, Marc",You Sang To Me,23 ,20
2000,"Anthony, Marc",You Sang To Me,24 ,20
2000,"Anthony, Marc",You Sang To Me,25 ,22
2000,"Anthony, Marc",You Sang To Me,26 ,25
2000,"Anthony, Marc",You Sang To Me,27 ,26
2000,"Anthony, Marc",You Sang To Me,28 ,29
2000,"Anthony, Marc",You Sang To Me,29 ,35
2000,"Anthony, Marc",You Sang To Me,3 ,50
2000,"Anthony, Marc",You Sang To Me,30 ,33
2000,"Anthony, Marc",You Sang To Me,31 ,40
2000,"Anthony, Marc",You Sang To Me,32 ,44
2000,"Anthony, Marc",You Sang To Me,4 ,43
2000,"Anthony, Marc",You Sang To Me,5 ,30
2000,"Anthony, Marc",You Sang To Me,6 ,27
2000,"Anthony, Marc",You Sang To Me,7 ,21
2000,"Anthony, Marc",You Sang To Me,8 ,18
2000,"Anthony, Marc",You Sang To Me,9 ,15
2000,Avant,My First Love,1 ,70
2000,Avant,My First Love,10 ,31
2000,Avant,My First Love,11 ,32
2000,Avant,My First Love,12 ,31
2000,Avant,My First Love,13 ,38
2000,Avant,My First Love,14 ,38
2000,Avant,My First Love,15 ,52
2000,Avant,My First Love,16 ,57
2000,Avant,My First Love,17 ,64
2000,Avant,My First Love,18 ,73
2000,Avant,My First Love,19 ,81
2000,Avant,My First Love,2 ,62
2000,Avant,My First Love,20 ,79
2000,Avant,My First Love,3 ,56
2000,Avant,My First Love,4 ,43
2000,Avant,My First Love,5 ,39
2000,Avant,My First Love,6 ,33
2000,Avant,My First Love,7 ,26
2000,Avant,My First Love,8 ,26
2000,Avant,My First Love,9 ,26
2000,Avant,Separated,1 ,62
2000,Avant,Separated,10 ,25
2000,Avant,Separated,11 ,23
2000,Avant,Separated,12 ,28
2000,Avant,Separated,13 ,27
2000,Avant,Separated,14 ,29
2000,Avant,Separated,15 ,27
2000,Avant,Separated,16 ,31
2000,Avant,Separated,17 ,31
2000,Avant,Separated,18 ,33
2000,Avant,Separated,19 ,40
2000,Avant,Separated,2 ,32
2000,Avant,Separated,20 ,51
2000,Avant,Separated,3 ,30
2000,Avant,Separated,4 ,23
2000,Avant,Separated,5 ,26
2000,Avant,Separated,6 ,30
2000,Avant,Separated,7 ,35
2000,Avant,Separated,8 ,32
2000,Avant,Separated,9 ,32
2000,BBMak,Back Here,1 ,99
2000,BBMak,Back Here,10 ,18
2000,BBMak,Back Here,11 ,19
2000,BBMak,Back Here,12 ,15
2000,BBMak,Back Here,13 ,18
2000,BBMak,Back Here,14 ,13
2000,BBMak,Back Here,15 ,16
2000,BBMak,Back Here,16 ,15
2000,BBMak,Back Here,17 ,16
2000,BBMak,Back Here,18 ,16
2000,BBMak,Back Here,19 ,17
2000,BBMak,Back Here,2 ,86
2000,BBMak,Back Here,20 ,15
2000,BBMak,Back Here,21 ,18
2000,BBMak,Back Here,22 ,17
2000,BBMak,Back Here,23 ,16
2000,BBMak,Back Here,24 ,22
2000,BBMak,Back Here,25 ,24
2000,BBMak,Back Here,26 ,30
2000,BBMak,Back Here,27 ,36
2000,BBMak,Back Here,28 ,37
2000,BBMak,Back Here,29 ,42
2000,BBMak,Back Here,3 ,60
2000,BBMak,Back Here,30 ,45
2000,BBMak,Back Here,31 ,49
2000,BBMak,Back Here,4 ,52
2000,BBMak,Back Here,5 ,38
2000,BBMak,Back Here,6 ,34
2000,BBMak,Back Here,7 ,28
2000,BBMak,Back Here,8 ,21
2000,BBMak,Back Here,9 ,18
2000,"Backstreet Boys, The",Shape Of My Heart,1 ,39
2000,"Backstreet Boys, The",Shape Of My Heart,10 ,12
2000,"Backstreet Boys, The",Shape Of My Heart,11 ,17
2000,"Backstreet Boys, The",Shape Of My Heart,12 ,19
2000,"Backstreet Boys, The",Shape Of My Heart,13 ,29
2000,"Backstreet Boys, The",Shape Of My Heart,14 ,26
2000,"Backstreet Boys, The",Shape Of My Heart,15 ,24
2000,"Backstreet Boys, The",Shape Of My Heart,16 ,31
2000,"Backstreet Boys, The",Shape Of My Heart,17 ,52
2000,"Backstreet Boys, The",Shape Of My Heart,18 ,63
2000,"Backstreet Boys, The",Shape Of My Heart,19 ,62
2000,"Backstreet Boys, The",Shape Of My Heart,2 ,25
2000,"Backstreet Boys, The",Shape Of My Heart,20 ,70
2000,"Backstreet Boys, The",Shape Of My Heart,3 ,24
2000,"Backstreet Boys, The",Shape Of My Heart,4 ,15
2000,"Backstreet Boys, The",Shape Of My Heart,5 ,12
2000,"Backstreet Boys, The",Shape Of My Heart,6 ,12
2000,"Backstreet Boys, The",Shape Of My Heart,7 ,10
2000,"Backstreet Boys, The",Shape Of My Heart,8 ,9
2000,"Backstreet Boys, The",Shape Of My Heart,9 ,10
2000,"Backstreet Boys, The",Show Me The Meaning ,1 ,74
2000,"Backstreet Boys, The",Show Me The Meaning ,10 ,9
2000,"Backstreet Boys, The",Show Me The Meaning ,11 ,7
2000,"Backstreet Boys, The",Show Me The Meaning ,12 ,6
2000,"Backstreet Boys, The",Show Me The Meaning ,13 ,6
2000,"Backstreet Boys, The",Show Me The Meaning ,14 ,6
2000,"Backstreet Boys, The",Show Me The Meaning ,15 ,8
2000,"Backstreet Boys, The",Show Me The Meaning ,16 ,9
2000,"Backstreet Boys, The",Show Me The Meaning ,17 ,13
2000,"Backstreet Boys, The",Show Me The Meaning ,18 ,19
2000,"Backstreet Boys, The",Show Me The Meaning ,19 ,23
2000,"Backstreet Boys, The",Show Me The Meaning ,2 ,62
2000,"Backstreet Boys, The",Show Me The Meaning ,20 ,26
2000,"Backstreet Boys, The",Show Me The Meaning ,21 ,32
2000,"Backstreet Boys, The",Show Me The Meaning ,22 ,34
2000,"Backstreet Boys, The",Show Me The Meaning ,23 ,45
2000,"Backstreet Boys, The",Show Me The Meaning ,24 ,47
2000,"Backstreet Boys, The",Show Me The Meaning ,3 ,55
2000,"Backstreet Boys, The",Show Me The Meaning ,4 ,25
2000,"Backstreet Boys, The",Show Me The Meaning ,5 ,16
2000,"Backstreet Boys, The",Show Me The Meaning ,6 ,14
2000,"Backstreet Boys, The",Show Me The Meaning ,7 ,12
2000,"Backstreet Boys, The",Show Me The Meaning ,8 ,10
2000,"Backstreet Boys, The",Show Me The Meaning ,9 ,12
2000,"Backstreet Boys, The",The One,1 ,58
2000,"Backstreet Boys, The",The One,10 ,61
2000,"Backstreet Boys, The",The One,11 ,76
2000,"Backstreet Boys, The",The One,12 ,90
2000,"Backstreet Boys, The",The One,13 ,93
2000,"Backstreet Boys, The",The One,14 ,93
2000,"Backstreet Boys, The",The One,15 ,100
2000,"Backstreet Boys, The",The One,2 ,50
2000,"Backstreet Boys, The",The One,3 ,43
2000,"Backstreet Boys, The",The One,4 ,37
2000,"Backstreet Boys, The",The One,5 ,31
2000,"Backstreet Boys, The",The One,6 ,30
2000,"Backstreet Boys, The",The One,7 ,39
2000,"Backstreet Boys, The",The One,8 ,47
2000,"Backstreet Boys, The",The One,9 ,55
2000,"Badu, Erkyah",Bag Lady,1 ,67
2000,"Badu, Erkyah",Bag Lady,10 ,9
2000,"Badu, Erkyah",Bag Lady,11 ,8
2000,"Badu, Erkyah",Bag Lady,12 ,11
2000,"Badu, Erkyah",Bag Lady,13 ,15
2000,"Badu, Erkyah",Bag Lady,14 ,21
2000,"Badu, Erkyah",Bag Lady,15 ,26
2000,"Badu, Erkyah",Bag Lady,16 ,29
2000,"Badu, Erkyah",Bag Lady,17 ,26
2000,"Badu, Erkyah",Bag Lady,18 ,38
2000,"Badu, Erkyah",Bag Lady,19 ,56
2000,"Badu, Erkyah",Bag Lady,2 ,53
2000,"Badu, Erkyah",Bag Lady,20 ,66
2000,"Badu, Erkyah",Bag Lady,3 ,42
2000,"Badu, Erkyah",Bag Lady,4 ,41
2000,"Badu, Erkyah",Bag Lady,5 ,48
2000,"Badu, Erkyah",Bag Lady,6 ,42
2000,"Badu, Erkyah",Bag Lady,7 ,34
2000,"Badu, Erkyah",Bag Lady,8 ,6
2000,"Badu, Erkyah",Bag Lady,9 ,9
2000,Baha Men,Who Let The Dogs Out,1 ,99
2000,Baha Men,Who Let The Dogs Out,10 ,54
2000,Baha Men,Who Let The Dogs Out,11 ,53
2000,Baha Men,Who Let The Dogs Out,12 ,53
2000,Baha Men,Who Let The Dogs Out,13 ,43
2000,Baha Men,Who Let The Dogs Out,14 ,40
2000,Baha Men,Who Let The Dogs Out,15 ,44
2000,Baha Men,Who Let The Dogs Out,16 ,41
2000,Baha Men,Who Let The Dogs Out,17 ,51
2000,Baha Men,Who Let The Dogs Out,18 ,65
2000,Baha Men,Who Let The Dogs Out,19 ,78
2000,Baha Men,Who Let The Dogs Out,2 ,92
2000,Baha Men,Who Let The Dogs Out,20 ,84
2000,Baha Men,Who Let The Dogs Out,3 ,85
2000,Baha Men,Who Let The Dogs Out,4 ,76
2000,Baha Men,Who Let The Dogs Out,5 ,65
2000,Baha Men,Who Let The Dogs Out,6 ,54
2000,Baha Men,Who Let The Dogs Out,7 ,61
2000,Baha Men,Who Let The Dogs Out,8 ,58
2000,Baha Men,Who Let The Dogs Out,9 ,54
2000,Barenaked Ladies,Pinch Me,1 ,77
2000,Barenaked Ladies,Pinch Me,10 ,25
2000,Barenaked Ladies,Pinch Me,11 ,16
2000,Barenaked Ladies,Pinch Me,12 ,15
2000,Barenaked Ladies,Pinch Me,13 ,15
